No,sentence,info__snippets,info__target,info_sentiment_score,info_aspects,preprocessed_sentence,numerical_info,encoded_values,sentiment_scores_for_numerical_encoded_values,trend,embedded_aspect,predicted_sentiment_probability_after_attention_mechanism
1052.0,US dollar wipes out sales gains for SABMiller,['wipes out sales gains for SABMiller'],SABMiller,-0.582,['Corporate/Sales/Sales'],dollar wipe sale gain sabmiller,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],increase,gain SABMiller,[0.30150497 0.3435179  0.35497716]
1053.0,"UPDATE 1-SABMiller 2nd-quarter underlying sales rise, forex impacts margins",[' underlying sales rise'],SABMiller,0.043,['Corporate/Sales/Sales'],update 1 sabmiller 2nd quarter underlying sale rise forex impact margin,"[{'value': '1', 'type': 'cardinal', 'aspect': 'sabmiller', 'dependency_type': 'nummod'}, {'value': '2nd', 'type': 'date', 'aspect': 'quarter', 'dependency_type': 'amod'}]","tensor([[ 0.0584, -0.0858, -0.0869]], grad_fn=<CatBackward0>)",[[ 0.05843232 -0.08583678 -0.08687651]],increase,rise SABMiller,[0.3134573  0.34390652 0.34263614]
1057.0,UPDATE 2-Pricey beers lift SABMiller's quarterly underlying sales,['lift SABMiller's quarterly underlying sales'],SABMiller,0.429,['Corporate/Sales/Sales'],update 2 pricey beer lift sabmiller quarterly underlying sale,"[{'value': '2', 'type': 'cardinal', 'aspect': 'lift', 'dependency_type': 'nummod'}]","tensor([[ 0.0141, -0.0280, -0.1086]], grad_fn=<CatBackward0>)",[[ 0.01406322 -0.02795044 -0.10863185]],,SABMiller,[0.2901365  0.42650947 0.28335398]
1061.0,Valeant CEO Pledges to Heed Critics After `Painful' Experience,['Heed Critics After `Painful' Experience'],Valeant,-0.381,['Corporate/Company Communication'],valeant ceo pledge heed critic ` painful experience,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Valeant,[0.31874752 0.3327664  0.34848607]
1063.0,"Are Aviva plc, Direct Line Insurance Group PLC And Admiral Group plc Set To Soar?",['No real aspect?'],Aviva,0.324,['Corporate/Company Communication'],aviva plc direct line insurance group plc admiral group plc set soar,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],increase,soar Aviva,[0.3740785  0.35263902 0.2732825 ]
,,['No real aspect?'],Direct Line Insurance Group PLC,0.345,['Corporate/Company Communication'],,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Direct Line Insurance Group PLC,[0.30485386 0.3654631  0.329683  ]
1065.0,StanChart and RBS struggle in Bank of England stress tests,['RBS struggle in Bank of England stress tests'],RBS,-0.738,['Economy/Central Banks'],stanchart rbs struggle bank england stress test,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,RBS,[0.37463465 0.29728347 0.32808185]
,,['struggle in Bank of England stress tests'],Standard Chartered,-0.39,['Corporate/Regulatory'],,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Standard Chartered,[0.28457344 0.38646618 0.3289604 ]
1073.0,Barclays sells benchmark indices unit to Bloomberg,['sells benchmark indices unit'],Bloomberg,0.281,['Corporate/Strategy/Divestment'],barclays sell benchmark index unit bloomberg,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Bloomberg,[0.3280376  0.3045183  0.36744407]
1077.0,"Sainsbury's, Asda, Tesco and Morrisons will all cut petrol prices as oil falls ...",['will all cut petrol prices as oil falls ...'],Morrisons,-0.251,['Stock/Price Action/Future Price'],sainsbury asda tesco morrison cut petrol price oil fall,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],decrease,cut Morrisons,[0.33903036 0.2701933  0.39077634]
,,['will all cut petrol prices as oil falls ...'],Sainsbury,-0.259,['Corporate/Financial/Bankruptcy/Entering bankruptcy'],,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Sainsbury,[0.3405153  0.3110368  0.34844792]
,,['will all cut petrol prices as oil falls ...'],Tesco,-0.222,['Stock/Price Action/Future Price'],,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Tesco,[0.3669962  0.3280054  0.30499843]
1079.0,"EU drops Shell, BP, Statoil from ethanol benchmark investigation",['benchmark investigation'],Shell,0.276,['Stock/Insider Activity/Insider Trading'],eu drop shell bp statoil ethanol benchmark investigation,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],decrease,drop Shell,[0.32844722 0.36192733 0.30962545]
,,['benchmark investigation'],Statoil,0.294,['Stock/Insider Activity/Insider Trading'],,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Statoil,[0.3318045  0.2799746  0.38822082]
1089.0,AstraZeneca Explores Potential Deal With Acerta for Cancer Drug,['Explores Potential Deal '],AstraZeneca,0.372,['Corporate/M&A/Joint Venture'],astrazeneca explore potential deal acerta cancer drug,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,AstraZeneca,[0.27821904 0.39684156 0.3249395 ]
1095.0,Shell and BG Shareholders to Vote on Deal at End of January,['Shareholders to Vote on Deal at End of January'],Shell,0.0,['Corporate/Sales/Deal'],shell bg shareholder vote deal end january,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Shell,[0.29089648 0.32101932 0.38808426]
1109.0,AstraZeneca chases Acerta to secure next cancer drug winner,['chases Acerta to secure next cancer drug winner'],AstraZeneca,0.519,['Stock/Buyside/Stock Buyside'],astrazeneca chase acerta secure cancer drug winner,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,AstraZeneca,[0.35045278 0.4525873  0.19695994]
1112.0,CompaniesTesco off to a bad start over Xmas â€“ Kantar,['off to a bad start over Xmas'],Tesco,-0.604,['Stock/Price Action'],companiestesco bad start xmas â€ kantar,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Tesco,[0.39156434 0.28918543 0.31925026]
1117.0,"DBS, Julius Baer emerge as potential bidders for Barclays Asia wealth unit ...",['emerge as potential bidders for'],Julius Baer,0.31,['Stock/Buyside/Stock Buyside'],dbs julius baer emerge potential bidder barclays asia wealth unit,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Julius Baer,[0.40000546 0.2646211  0.33537346]
1118.0,Why AstraZeneca plc & Dixons Carphone PLC Are Red-Hot Growth Stars!,['Are Red-Hot Growth Stars'],Dixons Carphone,0.766,['Corporate/Dividend Policy/Dividend/Dividend going up'],astrazeneca plc dixons carphone plc red hot growth star,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Dixons Carphone,[0.25049293 0.31301013 0.4364969 ]
1120.0,BBCN Bancorp to buy Wilshire Bancorp in $1 bln deal,['to buy Wilshire Bancorp in $1 bln deal'],Wilshire Bancorp,0.818,['Corporate/M&A'],bbcn bancorp buy wilshire bancorp $ 1 bln deal,"[{'value': '1', 'type': 'cardinal', 'aspect': 'deal', 'dependency_type': 'nummod'}]","tensor([[ 0.0584, -0.0858, -0.0869]], grad_fn=<CatBackward0>)",[[ 0.05843232 -0.08583678 -0.08687651]],,Wilshire Bancorp,[0.34247226 0.31283483 0.34469292]
1122.0,ITV share price jumps on report of Comcast's NBCUniversal bidding to takeover ...,['price jumps on report of Comcast's NBCUniversal'],Comcast,0.623,['Stock/Price Action'],itv share price jump report comcast nbcuniversal bidding takeover,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Comcast,[0.34359968 0.28875166 0.36764866]
,,['share price jumps on report of'],ITV,0.611,['Stock/Price Action/Current Price/Stock Price'],,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,ITV,[0.3275787  0.37897974 0.29344162]
1131.0,Glencore Studies Possible IPO for Agricultural Trading Business,['Possible IPO for Agricultural Trading Business'],Glencore,0.408,['Stock/IPO'],glencore study possible ipo agricultural trading business,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Glencore,[0.27327865 0.42847422 0.29824722]
1132.0,Can Christmas Save Sainsbury's plc And Tesco plc?,['Can Christmas Save..... ?'],Tesco,-0.175,['Corporate/Rumors/Rumors'],christmas save sainsbury plc tesco plc,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Tesco,[0.29214847 0.40426263 0.30358896]
1133.0,UPDATE 1-AstraZeneca boosts respiratory unit with $575 mln Takeda deal,[' boosts respiratory unit with $575 mln Takeda deal'],Takeda,0.47,['Corporate/M&A/'],update 1 astrazeneca boost respiratory unit $ 575 mln takeda deal,"[{'value': '1', 'type': 'cardinal', 'aspect': 'astrazeneca', 'dependency_type': 'nummod'}, {'value': '575', 'type': 'cardinal', 'aspect': 'deal', 'dependency_type': 'nummod'}]","tensor([[  0.0584,  -0.0858,  -0.0869, -21.1294,  35.2505, -11.9767]],
       grad_fn=<CatBackward0>)","[[  0.05843232  -0.08583678  -0.08687651 -21.129429    35.250523
  -11.976666  ]]",increase,boost Takeda,[0.2464027  0.43378988 0.31980738]
1142.0,Bilfinger Industrial Services win Â£100m BP contract extension,['win Â£100m BP contract extension'],BP,0.113,['Corporate/Sales/Deal'],bilfinger industrial service win â£100 m bp contract extension,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],decrease,contract BP,[0.24791786 0.39607528 0.35600686]
1143.0,"Standard Chartered, RBS Escape Capital Raising in Stress Test",['Escape Capital Raising in Stress Test'],RBS,0.335,['Economy/Central Banks'],standard chartered rbs escape capital raising stress test,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,RBS,[0.2750925  0.34510463 0.37980288]
,,['Escape Capital Raising in Stress Test'],Standard Chartered,0.321,['Corporate/Regulatory'],,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Standard Chartered,[0.33235368 0.34523907 0.32240716]
1147.0,AstraZeneca weighing up Acerta bid to secure blood cancer drug,['weighing up Acerta bid to'],AstraZeneca,0.284,['Stock/Buyside/Stock Buyside'],astrazeneca weigh acerta bid secure blood cancer drug,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,AstraZeneca,[0.29464138 0.3234138  0.3819448 ]
1154.0,2 Turnaround Buys For 2016? BHP Billiton plc And Home Retail Group Plc,['2 Turnaround Buys'],Home Retail Group,0.492,['Economy/Central Banks/Monetary Policy/Monetary Policy - SNB'],2 turnaround buy 2016 bhp billiton plc home retail group plc,"[{'value': '2', 'type': 'cardinal', 'aspect': 'turnaround', 'dependency_type': 'nummod'}, {'value': '2016', 'type': 'cardinal', 'aspect': 'bhp', 'dependency_type': 'nummod'}]","tensor([[ 1.4063e-02, -2.7950e-02, -1.0863e-01, -7.4351e+01,  1.2395e+02,
         -4.1899e+01]], grad_fn=<CatBackward0>)","[[ 1.4063217e-02 -2.7950443e-02 -1.0863185e-01 -7.4350662e+01
   1.2394960e+02 -4.1898514e+01]]",,Home Retail Group,[0.34146363 0.3725143  0.28602198]
1155.0,L&G completes UK's largest medically underwritten bulk pension risk deal,['completes UK's largest medically underwritten bulk pension risk dea'],L&G,0.25,['Corporate/Risks'],l&g complete uk large medically underwritten bulk pension risk deal,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,L&G,[0.24203183 0.39660898 0.36135915]
1160.0,Drugmaker Shire to buy Baxalta for $32 billion after 6-month pursuit,['to buy Baxalta for $32 billion after 6-month pursuit'],Shire,0.437,['Corporate/M&A/M&A'],drugmaker shire buy baxalta $ 32 billion 6 month pursuit,"[{'value': '32', 'type': 'cardinal', 'aspect': 'billion', 'dependency_type': None}, {'value': 'billion', 'type': 'cardinal', 'aspect': 'pursuit', 'dependency_type': 'nummod'}, {'value': '6', 'type': 'cardinal', 'aspect': 'month', 'dependency_type': 'nummod'}]","tensor([[-1.0972e+00,  1.8276e+00, -7.0836e-01, -3.6934e+07,  6.1554e+07,
         -2.0765e+07, -1.3633e-01,  2.2109e-01, -1.8499e-01]],
       grad_fn=<CatBackward0>)","[[-1.0972358e+00  1.8275831e+00 -7.0835650e-01 -3.6933544e+07
   6.1553836e+07 -2.0764644e+07 -1.3633153e-01  2.2108659e-01
  -1.8499303e-01]]",,Shire,[0.3031631  0.36994064 0.3268963 ]
1165.0,Kingfisher share price slides on cost to implement new strategy,['share price slides on cost to'],Kingfisher,-0.786,['Stock/Price Action'],kingfisher share price slide cost implement new strategy,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Kingfisher,[0.30160522 0.3670921  0.33130264]
1168.0,Shire says internal synergy goals from Baxalta deal higher,['says internal synergy goals from Baxalta deal higher'],Shire,0.287,['Corporate/Company Communication/Dividend'],shire say internal synergy goal baxalta deal higher,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Shire,[0.27841073 0.39192864 0.32966062]
1172.0,"European shares plunge, roiled by BHP and oil; hopes turn to ECB","['shares plunge,']",BHP,-0.736,['Economy/Central Banks/?'],european share plunge roil bhp oil hope turn ecb,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],decrease,plunge BHP,[0.4049055  0.25461906 0.34047544]
1183.0,Morrisons and Debenhams surprise City with Christmas bounce back,['with Christmas bounce back'],Debenhams,0.573,['Stock/Price Action/Volatility'],morrison debenham surprise city christmas bounce,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Debenhams,[0.31706786 0.4081865  0.2747457 ]
,,['surprise City with Christmas bounce back'],Morrisons,0.619,['Stock/Price Action/Volatility'],,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Morrisons,[0.4005491  0.32250136 0.27694952]
1190.0,"Britain's FTSE falls back with Ashtead, commodities under pressure","['FTSE falls back with Ashtead,']",Ashtead,-0.59,['Market/Volatility'],britain ftse fall ashtead commodity pressure,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],decrease,fall Ashtead,[0.32669765 0.3139119  0.3593904 ]
1192.0,Tesco shares jump 6% after Christmas sales beat expectations,['jump 6% after Christmas sales beat expectations'],Tesco,0.814,['Corporate/Sales'],tesco share jump 6 christmas sale beat expectation,"[{'value': '6', 'type': 'cardinal', 'aspect': 'jump', 'dependency_type': 'nummod'}]","tensor([[-0.1363,  0.2211, -0.1850]], grad_fn=<CatBackward0>)",[[-0.13633153  0.22108659 -0.18499303]],,Tesco,[0.24532536 0.41937965 0.33529502]
1195.0,"CEOs of BPM, UBI meet Italy econ minister as M&A talk heats up",['meet Italy econ minister as M&A talk heats up'],UBI,0.133,['Corporate/Risks/Extraordinary Meeting'],ceos bpm ubi meet italy econ minister m&a talk heat,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,UBI,[0.33088425 0.25687575 0.41223994]
1200.0,CompaniesHome Retail trims gains but is considered 'in play',['trims gains but is considered 'in play''],Home Retail,0.135,['Stock/Price Action'],companieshome retail trim gain consider play,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],increase,gain Home Retail,[0.4087888  0.24536888 0.3458423 ]
1202.0,Philippines' San Miguel says to partner with Kirin if it bids for SABMiller's ...,['says to partner with Kirin if'],SABMiller,0.577,['Corporate/Sales/Partnership'],philippine san miguel say partner kirin bid sabmiller,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,SABMiller,[0.30625543 0.38715836 0.3065862 ]
,,['says to partner with Kirin if'],San Miguel,0.19,['Corporate/Sales/Partnership'],,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,San Miguel,[0.3265121  0.3466798  0.32680807]
1203.0,Investors Remain Skeptical About Shell-BG Deal,['Investors Remain Skeptical About Shell-BG Deal'],Shell,-0.266,['Corporate/Rumors/Rumors'],investor remain skeptical shell bg deal,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Shell,[0.35282636 0.327485   0.31968868]
1210.0,MarketsShire up 2.5% and Baxalta up 6% on $32bn deal,['MarketsShire up 2.5% '],Shire,0.487,['Stock/Buyside/Stock Buyside'],marketsshire 2.5 baxalta 6 $ 32bn deal,"[{'value': '2.5', 'type': 'cardinal', 'aspect': 'baxalta', 'dependency_type': 'nummod'}, {'value': '6', 'type': 'cardinal', 'aspect': 'deal', 'dependency_type': 'nummod'}]","tensor([[-0.0047,  0.0032, -0.1182, -0.1363,  0.2211, -0.1850]],
       grad_fn=<CatBackward0>)",[[-0.00473612  0.00317917 -0.11817701 -0.13633153  0.22108659 -0.18499303]],,Shire,[0.43268806 0.27859017 0.28872177]
1217.0,Shire share price under pressure after $32bn Baxalta deal,['share price under pressure after $32bn Baxalta deal'],Baxalta,-0.198,['Stock/Price Action'],shire share price pressure $ 32bn baxalta deal,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Baxalta,[0.3457017  0.34082213 0.31347612]
,,['share price under pressure after $32bn Baxalta deal'],Shire,-0.186,['Stock/Price Action/Volatility'],,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Shire,[0.35101122 0.32260585 0.32638288]
1218.0,Valeant Names Interim Leader as CEO Remains Hospitalized,['Interim Leader as CEO Remains Hospitalized'],Valeant,0.0,['Corporate/Appointment'],valeant name interim leader ceo remains hospitalize,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Valeant,[0.32650056 0.3431772  0.3303222 ]
1222.0,Valeant Said to Name New CEO With Pearson Still Hospitalized,['Said to Name New CEO With Pearson Still Hospitalized'],Valeant,0.015,['Corporate/Appointment'],valeant say new ceo pearson hospitalize,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Valeant,[0.38276577 0.2727932  0.34444106]
1223.0,Shares in BAE Systems hit 10-month high on rating upgrade,['hit 10-month high on rating upgrade'],BAE,0.905,['Stock/Coverage'],share bae system hit 10 month high rating upgrade,"[{'value': '10', 'type': 'cardinal', 'aspect': 'month', 'dependency_type': 'nummod'}]","tensor([[-0.2867,  0.4701, -0.2614]], grad_fn=<CatBackward0>)",[[-0.28672627  0.4701236  -0.26135424]],increase,high BAE,[0.27721417 0.42892975 0.2938561 ]
1224.0,Japan's Asahi to submit bid next week for SABMiller's Grolsch and Peroni - Yomiuri,['to submit bid next week'],SABMiller,0.236,['Stock/Buyside/Stock Buyside'],japan asahi submit bid week sabmiller grolsch peroni yomiuri,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,SABMiller,[0.401454   0.30700675 0.29153922]
1230.0,CompaniesDixons Carphone to close 134 UK stores as sales jump,['to close 134 UK stores as sales jump'],Dixons Carphone,0.144,['Corporate/Sales'],companiesdixon carphone close 134 uk store sale jump,"[{'value': '134', 'type': 'cardinal', 'aspect': 'jump', 'dependency_type': 'nummod'}]","tensor([[-4.8417,  8.1053, -2.8195]], grad_fn=<CatBackward0>)",[[-4.841735   8.105277  -2.8194575]],,Dixons Carphone,[0.36094248 0.31470862 0.32434893]
1239.0,"Broker tips: RBS, Croda, Sage",['Broker tips:'],RBS,0.381,['Corporate/Rumors/Rumors'],broker tip rbs croda sage,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,RBS,[0.3442462  0.29635215 0.35940167]
,,['Broker tips:'],Sage,0.393,['Corporate/Rumors/Rumors'],,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Sage,[0.26262715 0.31422403 0.42314887]
1241.0,Shell share price: Standard Life announce position against BG acquisition,['Standard Life announce position against BG acquisition'],Shell,-0.134,['Corporate/M&A/M&A'],shell share price standard life announce position bg acquisition,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Shell,[0.33445707 0.3341248  0.33141816]
,,['Standard Life announce position against BG acquisition'],Standard Life,-0.099,['Corporate/M&A/M&A'],,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Standard Life,[0.34665644 0.34317258 0.31017095]
1242.0,Tesco share price down as grocer faces SFO investigation outcome,['share price down'],Tesco,-0.542,['Stock/Price Action'],tesco share price grocer face sfo investigation outcome,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Tesco,[0.48958877 0.21229015 0.29812112]
1243.0,"Britain's FTSE outperforms Europe, Royal Mail and Tesco rise","['Britain's FTSE outperforms Europe, Royal Mail and Tesco rise']",Tesco,0.439,['Market/Volatility/Volatility'],britain ftse outperform europe royal mail tesco rise,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],increase,rise Tesco,[0.37370068 0.27646032 0.34983897]
1256.0,Greene King's third quarter sales boosted by festive season,['third quarter sales boosted'],Greene King,0.363,['Corporate/Sales'],greene king third quarter sale boost festive season,"[{'value': 'third', 'type': 'date', 'aspect': 'quarter', 'dependency_type': 'amod'}]","tensor([[0., 0., 0.]])",[[0. 0. 0.]],increase,boost Greene King,[0.3264137  0.32937112 0.34421518]
1283.0,InterContinental Hotels Group share price climbs on $1.5bn special dividend,['$1.5bn special dividend'],InterContinental Hotels Group,0.631,['Corporate/Dividend Policy'],intercontinental hotels group share price climb $ 1.5bn special dividend,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],increase,climb InterContinental Hotels Group,[0.2887766  0.28198427 0.42923912]
1284.0,Amazon to attack UK grocery market with Morrisons deal,['to attack UK grocery market'],Morrisons,0.333,['Market/Market/Market Outlook'],amazon attack uk grocery market morrison deal,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Morrisons,[0.2960344  0.34112346 0.3628421 ]
1287.0,AstraZeneca share price: Acerta deal pays off with orphan drug status,['share price: Acerta deal pays off'],AstraZeneca,0.495,['Corporate/M&A'],astrazeneca share price acerta deal pay orphan drug status,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,AstraZeneca,[0.3753655  0.3051229  0.31951165]
1288.0,"BHP Billiton posts big loss, slashes dividend",['slashes dividend'],BHP Billiton,-0.938,['Corporate/Dividend Policy'],bhp billiton post big loss slash dividend,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,BHP Billiton,[0.27091196 0.2888816  0.44020647]
1289.0,Merged LSE and Deutsche BÃ¶rse would be led by Germany's Kengeter,['Merged LSE and Deutsche BÃ¶rse'],LSE,0.136,['Corporate/M&A/M&A'],merge lse deutsche bã¶rse lead germany kengeter,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,LSE,[0.33044785 0.27217412 0.397378  ]
1297.0,"Should You Buy Jumbo Yielders British American Tobacco plc, Centrica PLC & John Wood Group PLC?",['Should You Buy....?'],Centrica PLC,0.1,['Corporate/Rumors/Scoop'],buy jumbo yielder british american tobacco plc centrica plc john wood group plc,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Centrica PLC,[0.32196435 0.22624111 0.4517945 ]
,,['Should You Buy....?'],John Wood Group PLC,0.103,['Corporate/Rumors/Scoop'],,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,John Wood Group PLC,[0.26030636 0.36850873 0.37118497]
1311.0,Is Trouble Brewing At Legal & General Group Plc And Aviva plc?,['Is Trouble Brewing At Legal & General Group Plc And Aviva plc?'],Legal & General Group Plc,-0.271,['Corporate/Rumors/Rumors'],trouble brew legal general group plc aviva plc,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Legal & General Group Plc,[0.3447838  0.2812838  0.37393236]
1313.0,BHP Billiton drags FTSE lower after slashing dividend,['after slashing dividend'],BHP Billiton,-0.604,['Corporate/Dividend Policy'],bhp billiton drag ftse lower slash dividend,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,BHP Billiton,[0.33877695 0.38311157 0.2781115 ]
1314.0,"BHP Billiton slashes dividend, posts $5.67 billion net loss",['slashes dividend'],BHP Billiton,-0.341,['Corporate/Dividend Policy'],bhp billiton slashes dividend post $ 5.67 billion net loss,"[{'value': 'billion', 'type': 'cardinal', 'aspect': 'loss', 'dependency_type': 'nummod'}]","tensor([[-36933544.,  61553836., -20764644.]], grad_fn=<CatBackward0>)",[[-36933544.  61553836. -20764644.]],,BHP Billiton,[0.32430002 0.33255774 0.34314224]
1315.0,CompaniesMeggitt profits hit by weak energy and military markets,['profits hit by weak energy and military markets'],Meggitt,-0.302,['Market/Market'],companiesmeggitt profit hit weak energy military market,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Meggitt,[0.30883336 0.34051085 0.3506558 ]
1316.0,Royal Mail share price edges lower as group raises stamp price,['share price edges lower'],Royal Mail,-0.269,['Stock/Price Action'],royal mail share price edge lower group raise stamp price,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Royal Mail,[0.30686077 0.3537043  0.33943492]
1323.0,GlaxoSmithKline starts hunt for successor to CEO Witty,['starts hunt for successor to CEO'],GlaxoSmithKline,0.0,['Corporate/Appointment/Executive Appointment'],glaxosmithkline start hunt successor ceo witty,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,GlaxoSmithKline,[0.35583955 0.30097097 0.34318945]
1324.0,"Rio Tinto swings to loss, drops dividend policy",['drops dividend policy'],Rio Tinto,-0.511,['Corporate/Dividend Policy'],rio tinto swing loss drop dividend policy,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],decrease,drop Rio Tinto,[0.41249955 0.2861588  0.30134165]
1327.0,France raises concerns over proposed LSE-Deutsche Boerse deal,[' raises concerns over proposed..'],LSE,-0.347,['Corporate/Risks/Sale Halt'],france raise concern propose lse deutsche boerse deal,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,LSE,[0.3000575  0.44875813 0.2511844 ]
1334.0,MarketsBP promotes upstream boss to deputy CEO,['promotes upstream boss to deputy CEO'],BP,0.066,['Corporate/Appointment'],marketsbp promote upstream boss deputy ceo,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,BP,[0.2932204  0.39265123 0.31412837]
1336.0,Legal & General share price: Finance chief to step down,['Finance chief to step down'],Legal & General,-0.166,['Corporate/Appointment'],legal general share price finance chief step,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Legal & General,[0.34263712 0.36863023 0.28873262]
1343.0,Barclays poaches new chief operating officer Paul Compton from JP Morgan Chase,['Barclays poaches new chief operating officer Paul Compton'],JP Morgan Chase,-0.092,['Corporate/Appointment/Executive Appointment'],barclay poache new chief operating officer paul compton jp morgan chase,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,JP Morgan Chase,[0.34060436 0.30760902 0.3517866 ]
1346.0,Arm profits and sales up as shift away from mobile gains pace,['profits and sales up'],Arm,0.497,['Corporate/Sales'],arm profit sale shift away mobile gain pace,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],increase,gain Arm,[0.32008842 0.38278747 0.29712412]
1349.0,Barclays appoints JPMorgan's Paul Compton as new COO,['appoints JPMorgan's Paul Compton as new COO'],Barclays,0.036,['Corporate/Appointment'],barclays appoint jpmorgan paul compton new coo,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Barclays,[0.28358746 0.33456418 0.3818484 ]
,,['Barclays appoints JPMorgan's Paul Compton'],JPMorgan,-0.014,['Corporate/Appointment/Executive Appointment'],,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,JPMorgan,[0.3372749  0.35035157 0.31237346]
1350.0,"FastJet slams EasyJet founder Stelios for going public, is 'taking legal advice' over letter about contractual ...",['is 'taking legal advice''],EasyJet,-0.238,['Corporate/Legal'],fastjet slams easyjet founder stelio go public take legal advice letter contractual,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,EasyJet,[0.3660627  0.37077886 0.26315844]
1353.0,NYSE owner ICE considers offer for LSE,['considers offer for'],LSE,0.396,['Corporate/Rumors/Scoop'],nyse owner ice consider offer lse,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,LSE,[0.39678043 0.2863376  0.31688195]
1356.0,News FeedFTSE 100 movers: LSE surges as ICE says mulling offer; Ashtead and Barclays tank,['LSE surges as ICE says mulling offer'],ICE,0.226,['Corporate/M&A'],news feedftse 100 mover lse surge ice say mull offer ashtead barclay tank,"[{'value': '100', 'type': 'cardinal', 'aspect': 'feedftse', 'dependency_type': None}]","tensor([[-3.5877,  6.0125, -2.1140]], grad_fn=<CatBackward0>)",[[-3.587666   6.012506  -2.1139667]],increase,surge ICE,[0.3727234  0.34016216 0.2871145 ]
